,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_merged_1_dropout,params_merged_1_size,params_merged_2_dropout,params_merged_2_size,params_merged_3_dropout,params_merged_3_size,state
109,109,0.7830188679245284,2024-03-04 22:26:23.542427,2024-03-04 22:26:42.709485,0 days 00:00:19.167058,0.0013248006097528419,0.3162900719727259,111,0.40325629205549707,114,0.45399399340286406,50,COMPLETE
110,110,0.8113207547169812,2024-03-04 22:26:42.710218,2024-03-04 22:27:03.481964,0 days 00:00:20.771746,0.0005542749098038522,0.4629451243837769,207,0.4732900628075069,103,0.30600870365127986,25,COMPLETE
111,111,0.7735849056603774,2024-03-04 22:27:03.483408,2024-03-04 22:27:24.790754,0 days 00:00:21.307346,0.00040416487552972813,0.40867848211647123,70,0.15608998163809962,76,0.25595368733994783,46,COMPLETE
112,112,0.7641509433962265,2024-03-04 22:27:24.792218,2024-03-04 22:27:45.187721,0 days 00:00:20.395503,0.0008022531043578246,0.4152119003154761,73,0.21536765444553913,69,0.2893019013210452,47,COMPLETE
113,113,0.7924528301886793,2024-03-04 22:27:45.189669,2024-03-04 22:28:01.858600,0 days 00:00:16.668931,0.0011463516123706597,0.3859120042804558,85,0.4489836109117537,81,0.32583012887981644,53,COMPLETE
114,114,0.8207547169811321,2024-03-04 22:28:01.860074,2024-03-04 22:28:13.444349,0 days 00:00:11.584275,0.0015668308980722665,0.471927078900941,193,0.16731184992630066,71,0.3167396585201051,42,COMPLETE
115,115,0.7924528301886793,2024-03-04 22:28:13.445480,2024-03-04 22:28:22.939015,0 days 00:00:09.493535,0.0422665977265545,0.43231535355005746,109,0.2059913587177276,60,0.22481509851128478,48,COMPLETE
116,116,0.7830188679245284,2024-03-04 22:28:22.940487,2024-03-04 22:28:41.703139,0 days 00:00:18.762652,0.0006466970491175382,0.2594354161416183,198,0.1480945809855766,108,0.295264690016982,49,COMPLETE
117,117,0.8207547169811321,2024-03-04 22:28:41.704618,2024-03-04 22:28:58.333194,0 days 00:00:16.628576,0.0009272385309734002,0.4986983238611355,139,0.10551552744088,66,0.19230446852142266,45,COMPLETE
118,118,0.8018867924528302,2024-03-04 22:28:58.333912,2024-03-04 22:29:12.605284,0 days 00:00:14.271372,0.002132225826940926,0.48239918210467847,252,0.3452749169573928,97,0.2734585560783472,46,COMPLETE
119,119,0.7924528301886793,2024-03-04 22:29:12.606745,2024-03-04 22:29:22.678794,0 days 00:00:10.072049,0.01147109459897135,0.32537774437318223,97,0.17878520391513025,74,0.25362712836247775,52,COMPLETE
120,120,0.8207547169811321,2024-03-04 22:29:22.679506,2024-03-04 22:29:46.798368,0 days 00:00:24.118862,0.0006849737935675401,0.28575588316375583,241,0.19233793276195973,95,0.48116122097514424,59,COMPLETE
121,121,0.8207547169811321,2024-03-04 22:29:46.799847,2024-03-04 22:29:59.206446,0 days 00:00:12.406599,0.0015737004708488527,0.424196434580065,74,0.28404025134738037,72,0.39333561976326564,58,COMPLETE
122,122,0.8018867924528302,2024-03-04 22:29:59.208016,2024-03-04 22:30:14.425322,0 days 00:00:15.217306,0.002494865152304201,0.40847089473140796,100,0.26913083760003376,77,0.4115656807954668,57,COMPLETE
123,123,0.7924528301886793,2024-03-04 22:30:14.426824,2024-03-04 22:30:29.111986,0 days 00:00:14.685162,0.0018821404983839266,0.44317520674175803,148,0.27549957734319785,106,0.42151993675181565,56,COMPLETE
